,City,month,mean,max,min
0,Kiev,8,7.458718861209961,9.9,-0.1
1,Paris,8,10.346181818181812,9.9,-0.9
2,Kherson,7,7.822265625,9.9,-0.1
3,Kiev,6,6.332269503546096,9.8,-0.1
4,Paris,3,9.570758122743685,9.9,-0.1
5,Lvov,4,7.037414965986391,9.8,-0.2
6,Kherson,12,8.244696969696967,9.9,-0.1
7,Paris,10,10.187450980392152,9.9,-0.1
8,Kiev,5,6.854545454545455,9.5,-0.1
9,Lvov,1,7.475502008032128,9.5,-0.2
10,Kiev,10,8.109689922480623,9.5,-0.2
11,Paris,12,10.358275862068965,9.9,-0.0
12,Kiev,9,7.117712177121768,9.8,-0.3
13,Paris,11,10.086142322097373,9.8,-0.1
14,Kherson,9,8.23309608540925,9.8,-0.2
15,Lvov,8,6.577364864864873,9.9,-0.0
16,Paris,4,10.618631178707217,9.8,-0.9
17,Kiev,7,6.455284552845526,9.9,-0.0
18,Lvov,10,7.644747081712063,9.9,-0.4
19,Kherson,3,9.311969111969105,9.8,-0.3
20,Kiev,12,5.73851851851852,9.9,-0.1
21,Kiev,11,6.582329317269079,9.8,-0.1
22,Kiev,2,6.933935018050539,9.4,-0.1
23,Lvov,9,6.253846153846153,9.4,-0.0
24,Kherson,1,8.999668874172185,9.9,-0.1
25,Lvov,5,6.8081481481481445,9.8,-0.0
26,Kiev,3,6.406643356643358,9.5,-0.3
27,Lvov,6,7.825941422594143,9.6,-0.0
28,Kherson,11,9.157195571955725,9.9,-0.2
29,Lvov,11,7.134163701067614,9.9,-0.0
30,Paris,1,10.225461254612537,9.8,-0.4
31,Kherson,10,8.739837398373986,9.9,-0.1
32,Kherson,8,8.261071428571421,9.8,-0.1
33,Kiev,4,6.4632411067193685,9.5,-0.0
34,Lvov,3,7.008076923076916,9.9,-0.0
35,Paris,9,10.034732824427476,9.9,-0.8
36,Paris,2,10.54850746268656,9.8,-0.2
37,Kiev,1,7.2031914893617,9.8,-0.4
38,Lvov,7,6.196885813148788,9.9,-0.1
39,Kherson,6,7.87032520325203,9.9,-0.1
40,Paris,6,9.34661654135338,9.8,-0.4
41,Lvov,12,6.743884892086331,9.9,-0.0
42,Paris,7,9.645054945054943,9.8,-0.1
43,Kherson,5,8.737209302325576,9.9,-0.0
44,Kherson,2,8.518149466192167,9.8,-0.7
45,Lvov,2,6.717307692307695,9.9,-0.3
46,Kherson,4,8.79283018867924,9.9,-0.0
47,Paris,5,10.252674897119338,9.8,-0.0
